hpan,calculation_date,txn_count_7d,txn_count_30d,txn_count_90d,txn_amount_7d,txn_amount_30d,txn_amount_90d,avg_txn_amount_7d,avg_txn_amount_30d,avg_txn_amount_90d,p2p_count_30d,p2p_amount_30d,unique_mcc_7d,unique_mcc_30d,unique_merchants_30d,avg_hour,weekend_ratio,night_txn_ratio,avg_daily_txn_count,days_since_last_txn,total_txn_count,p2p_ratio_30d,max_daily_txn_count,recency_score,frequency_score,monetary_score,customer_segment,activity_level
860055000000000017240,2025-04-30,0,1,5,0.0,3254105.0,4335229.0,0.0,3254105.0,867045.8,0,0.0,0,1,1,15,0.6,0.0,1.0,18,5,0.0,1,Regular,Low,Premium,Potential,Low
561468000000000036739,2025-04-30,1,4,5,3835497.0,4612221.0,7923226.0,3835497.0,1153055.25,1584645.2,1,90089.0,1,1,4,15,0.0,0.0,1.0,7,5,0.25,1,Active,Low,Premium,Champions,Low
626272000000000006250,2025-04-30,0,1,5,0.0,214490.0,1287035.0,0.0,214490.0,257407.0,1,214490.0,0,1,1,14,0.2,0.0,1.0,11,5,1.0,1,Regular,Low,Medium,Potential,Low
561468000000000009143,2025-04-30,0,1,5,0.0,26884.0,1991847.0,0.0,26884.0,398369.4,1,26884.0,0,1,1,13,0.0,0.0,1.0,27,5,1.0,1,Regular,Low,Low,Potential,Low
626292000000000017520,2025-04-30,1,3,6,234216.0,413708.0,559931.0,234216.0,137902.66666666666,93321.83333333333,2,179492.0,1,1,3,13,0.5,0.16666666666666666,1.0,6,6,0.6666666666666666,1,Active,Low,High,Champions,Low
860014000000000002778,2025-04-30,2,2,5,844863.0,844863.0,2325789.0,422431.5,422431.5,465157.8,1,0.0,1,1,2,15,0.2,0.2,1.0,0,5,0.5,1,nan,Low,High,Lost,Low
561468000000000003492,2025-04-30,0,1,5,0.0,147771.0,1235732.0,0.0,147771.0,247146.4,1,147771.0,0,1,1,14,0.2,0.0,1.0,25,5,1.0,1,Regular,Low,Medium,Potential,Low
561468000000000013203,2025-04-30,0,2,5,0.0,2049599.0,3572347.0,0.0,1024799.5,714469.4,0,0.0,0,1,2,13,0.2,0.0,1.25,14,5,0.0,1,Regular,Low,Premium,Potential,Low
860049000000000034116,2025-04-30,1,2,5,0.0,304178.0,1605781.0,0.0,152089.0,321156.2,0,0.0,1,1,2,17,0.2,0.2,1.0,7,5,0.0,1,Active,Low,Medium,Lost,Low
561468000000000065527,2025-04-30,0,3,6,0.0,387346.0,558209.0,0.0,129115.33333333333,93034.83333333333,2,128680.0,0,1,3,14,0.16666666666666666,0.3333333333333333,1.2,13,6,0.6666666666666666,1,Regular,Low,Medium,Potential,Low
561468000000000007888,2025-04-30,0,1,5,0.0,0.0,1699576.0,0.0,0.0,339915.2,0,0.0,0,1,1,15,0.6,0.0,1.0,18,5,0.0,1,Regular,Low,Low,Potential,Low
561468000000000034902,2025-04-30,0,5,8,0.0,557388.0,918536.0,0.0,111477.6,114817.0,0,0.0,0,1,5,14,0.5,0.0,1.0,9,8,0.0,1,Regular,Low,High,Potential,Low
561468000000000007037,2025-04-30,1,2,5,940702.0,940702.0,3617072.0,940702.0,470351.0,723414.4,1,940702.0,1,1,2,13,0.0,0.4,1.0,6,5,0.5,1,Active,Low,High,Champions,Low
860030000000000029125,2025-04-30,0,1,6,0.0,126643.0,8675237.0,0.0,126643.0,1445872.8333333333,0,0.0,0,1,1,12,0.0,0.0,1.0,29,6,0.0,1,Regular,Low,Medium,Potential,Low
860049000000000047339,2025-04-30,0,4,5,0.0,1343524.0,1343524.0,0.0,335881.0,268704.8,2,1164788.0,0,1,4,13,0.6,0.2,1.0,10,5,0.5,1,Regular,Low,Premium,Potential,Low
561468000000000016607,2025-04-30,2,3,6,309941.0,309941.0,1578533.0,154970.5,103313.66666666667,263088.8333333333,0,0.0,1,1,3,12,0.0,0.0,1.0,1,6,0.0,1,Active,Low,Medium,Lost,Low
626273000000000002682,2025-04-30,1,2,6,211488.0,1710755.0,3347357.0,211488.0,855377.5,557892.8333333334,0,0.0,1,1,2,13,0.3333333333333333,0.0,1.0,0,6,0.0,1,nan,Low,Premium,Lost,Low
561468000000000003893,2025-04-30,0,2,5,0.0,929528.0,2841619.0,0.0,464764.0,568323.8,0,0.0,0,1,2,12,0.0,0.0,1.0,13,5,0.0,1,Regular,Low,High,Potential,Low
561468000000000004502,2025-04-30,0,1,5,0.0,998035.0,2366811.0,0.0,998035.0,473362.2,0,0.0,0,1,1,15,0.0,0.2,1.0,14,5,0.0,1,Regular,Low,High,Potential,Low
561468000000000003920,2025-04-30,0,0,5,0.0,0.0,11844311.0,0.0,0.0,2368862.2,0,0.0,0,0,0,17,0.2,0.0,1.0,33,5,0.0,1,Sleeping,nan,Low,At Risk,nan
626257000000000035950,2025-04-30,0,4,6,0.0,719130.0,1814840.0,0.0,179782.5,302473.3333333333,1,238102.0,0,1,4,17,0.6666666666666666,0.16666666666666666,1.2,11,6,0.25,1,Regular,Low,High,Potential,Low
561468000000000033216,2025-04-30,1,2,5,287196.0,287196.0,1801138.0,287196.0,143598.0,360227.6,2,287196.0,1,1,2,13,0.2,0.0,1.25,1,5,1.0,1,Active,Low,Medium,Lost,Low
860006000000000014516,2025-04-30,1,3,7,110946.0,232102.0,3678007.0,110946.0,77367.33333333333,525429.5714285715,0,0.0,1,1,3,12,0.0,0.0,1.0,6,7,0.0,1,Active,Low,Medium,Lost,Low
860006000000000004952,2025-04-30,0,0,6,0.0,0.0,3418578.0,0.0,0.0,569763.0,0,0.0,0,0,0,13,0.16666666666666666,0.0,1.2,45,6,0.0,1,Sleeping,nan,Low,At Risk,nan
561468000000000014145,2025-04-30,0,2,5,0.0,238368.0,560672.0,0.0,119184.0,112134.4,2,238368.0,0,1,2,13,0.2,0.0,1.0,26,5,1.0,1,Regular,Low,Medium,Potential,Low
860057000000000005528,2025-04-30,1,2,5,108720.0,274716.0,2140928.0,108720.0,137358.0,428185.6,0,0.0,1,1,2,16,0.0,0.0,1.0,6,5,0.0,1,Active,Low,Medium,Lost,Low
561468000000000004667,2025-04-30,1,2,5,50308.0,313297.0,834732.0,50308.0,156648.5,166946.4,1,262989.0,1,1,2,13,0.2,0.0,1.0,0,5,0.5,1,nan,Low,Medium,Lost,Low
860002000000000042974,2025-04-30,1,2,5,80734.0,8266612.0,9291845.0,80734.0,4133306.0,1858369.0,1,80734.0,1,1,2,12,0.2,0.0,1.0,5,5,0.5,1,Active,Low,Premium,Champions,Low
407342000000000045189,2025-04-30,0,3,5,0.0,265169.0,4458766.0,0.0,88389.66666666667,891753.2,1,265169.0,0,1,3,14,0.2,0.0,1.0,9,5,0.3333333333333333,1,Regular,Low,Medium,Potential,Low
860003000000000040953,2025-04-30,1,4,6,131896.0,1784226.0,2743146.0,131896.0,446056.5,457191.0,2,1520423.0,1,1,4,13,0.3333333333333333,0.0,1.0,6,6,0.5,1,Active,Low,Premium,Champions,Low
561468000000000046048,2025-04-30,1,4,5,206452.0,4088907.0,9512633.0,206452.0,1022226.75,1902526.6,2,3787582.0,1,1,4,14,0.2,0.0,1.0,2,5,0.5,1,Active,Low,Premium,Champions,Low
860006000000000013486,2025-04-30,0,1,5,0.0,206176.0,851367.0,0.0,206176.0,170273.4,1,206176.0,0,1,1,10,0.4,0.2,1.0,11,5,1.0,1,Regular,Low,Medium,Potential,Low
561468000000000009337,2025-04-30,0,1,6,0.0,115058.0,1926249.0,0.0,115058.0,321041.5,0,0.0,0,1,1,13,0.16666666666666666,0.0,1.0,11,6,0.0,1,Regular,Low,Medium,Potential,Low
860004000000000075839,2025-04-30,0,3,5,0.0,5642612.0,6997019.0,0.0,1880870.6666666667,1399403.8,1,4496823.0,0,1,3,13,0.6,0.2,1.0,18,5,0.3333333333333333,1,Regular,Low,Premium,Potential,Low
860049000000000020008,2025-04-30,0,2,5,0.0,193442.0,488648.0,0.0,96721.0,97729.6,0,0.0,0,1,2,11,0.0,0.2,1.25,20,5,0.0,1,Regular,Low,Medium,Potential,Low
860049000000000055670,2025-04-30,2,4,5,817200.0,1986511.0,2144712.0,408600.0,496627.75,428942.4,1,817200.0,1,1,3,16,0.6,0.2,1.0,3,5,0.25,1,Active,Low,Premium,Champions,Low
561468000000000075254,2025-04-30,1,4,5,77561.0,388720.0,443683.0,77561.0,97180.0,88736.6,2,248623.0,1,1,2,14,0.4,0.0,1.0,2,5,0.5,1,Active,Low,High,Champions,Low
561468000000000007368,2025-04-30,0,1,5,0.0,1140357.0,3021869.0,0.0,1140357.0,604373.8,0,0.0,0,1,1,11,0.4,0.0,1.0,13,5,0.0,1,Regular,Low,High,Potential,Low
561468000000000007641,2025-04-30,0,1,5,0.0,253814.0,2073443.0,0.0,253814.0,414688.6,1,253814.0,0,1,1,16,0.2,0.2,1.25,10,5,1.0,1,Regular,Low,Medium,Potential,Low
561468000000000004478,2025-04-30,0,2,6,0.0,144952.0,1706701.0,0.0,72476.0,284450.1666666667,1,10368.0,0,1,2,14,0.5,0.16666666666666666,1.0,10,6,0.5,1,Regular,Low,Medium,Potential,Low
561468000000000013650,2025-04-30,0,1,5,0.0,168812.0,457000.0,0.0,168812.0,91400.0,0,0.0,0,1,1,13,0.2,0.0,1.0,23,5,0.0,1,Regular,Low,Medium,Potential,Low
860006000000000017483,2025-04-30,1,4,5,10391.0,115148.0,115148.0,10391.0,28787.0,23029.6,0,0.0,1,1,4,12,0.2,0.0,1.0,7,5,0.0,1,Active,Low,Medium,Lost,Low
561468000000000012677,2025-04-30,1,2,5,64433.0,188421.0,626633.0,64433.0,94210.5,125326.6,0,0.0,1,1,2,15,0.4,0.0,1.0,5,5,0.0,1,Active,Low,Medium,Lost,Low
561468000000000004198,2025-04-30,0,2,5,0.0,1936545.0,2468152.0,0.0,968272.5,493630.4,1,1031031.0,0,1,2,12,0.0,0.2,1.0,14,5,0.5,1,Regular,Low,Premium,Potential,Low
561468000000000010346,2025-04-30,0,2,7,0.0,1026501.0,2885689.0,0.0,513250.5,412241.28571428574,2,1026501.0,0,1,2,15,0.2857142857142857,0.0,1.0,14,7,1.0,1,Regular,Low,High,Potential,Low
860033000000000058193,2025-04-30,2,4,5,630405.0,3021344.0,3070741.0,315202.5,755336.0,614148.2,2,1237783.0,1,1,4,14,0.4,0.0,1.0,4,5,0.5,1,Active,Low,Premium,Champions,Low
561468000000000013910,2025-04-30,1,2,7,244164.0,1209611.0,2936860.0,244164.0,604805.5,419551.4285714286,0,0.0,1,1,2,14,0.2857142857142857,0.0,1.0,6,7,0.0,1,Active,Low,High,Champions,Low
561468000000000013379,2025-04-30,1,2,5,325547.0,390759.0,1042469.0,325547.0,195379.5,208493.8,1,325547.0,1,1,2,17,0.4,0.0,1.0,0,5,0.5,1,nan,Low,High,Lost,Low
561468000000000072651,2025-04-30,1,1,5,206120.0,206120.0,1528553.0,206120.0,206120.0,305710.6,0,0.0,1,1,1,13,1.0,0.0,1.0,4,5,0.0,1,Active,Low,Medium,Lost,Low
860033000000000004985,2025-04-30,0,2,6,0.0,1724629.0,2730017.0,0.0,862314.5,455002.8333333333,0,0.0,0,1,2,12,0.16666666666666666,0.16666666666666666,1.2,8,6,0.0,1,Regular,Low,Premium,Potential,Low
860009000000000033364,2025-04-30,0,0,5,0.0,0.0,4399874.0,0.0,0.0,879974.8,0,0.0,0,0,0,14,0.2,0.0,1.0,34,5,0.0,1,Sleeping,nan,Low,At Risk,nan
561468000000000016499,2025-04-30,1,3,8,103928.0,596196.0,4208592.0,103928.0,198732.0,526074.0,0,0.0,1,1,3,14,0.5,0.0,1.3333333333333333,3,8,0.0,1,Active,Low,High,Champions,Low
860003000000000004758,2025-04-30,0,2,6,0.0,262192.0,1441336.0,0.0,131096.0,240222.66666666666,1,262192.0,0,1,2,14,0.5,0.16666666666666666,1.0,13,6,0.5,1,Regular,Low,Medium,Potential,Low
860003000000000003788,2025-04-30,1,1,5,0.0,0.0,856705.0,0.0,0.0,171341.0,1,0.0,1,1,1,11,0.6,0.2,1.0,3,5,1.0,1,Active,Low,Low,Lost,Low
860006000000000019527,2025-04-30,0,0,5,0.0,0.0,3590297.0,0.0,0.0,718059.4,0,0.0,0,0,0,14,0.4,0.2,1.0,36,5,0.0,1,Sleeping,nan,Low,At Risk,nan
561468000000000003538,2025-04-30,0,1,9,0.0,1393481.0,4508353.0,0.0,1393481.0,500928.1111111111,0,0.0,0,1,1,16,0.3333333333333333,0.2222222222222222,1.0,23,9,0.0,1,Regular,Low,Premium,Potential,Low
561468000000000026934,2025-04-30,0,3,5,0.0,1336863.0,1506715.0,0.0,445621.0,301343.0,0,0.0,0,1,3,11,0.2,0.2,1.0,9,5,0.0,1,Regular,Low,Premium,Potential,Low
860003000000000029203,2025-04-30,0,2,5,0.0,9968768.0,10167034.0,0.0,4984384.0,2033406.8,2,9968768.0,0,1,2,16,0.2,0.2,1.0,12,5,1.0,1,Regular,Low,Premium,Potential,Low
544081000000000051207,2025-04-30,0,2,5,0.0,1266694.0,1866927.0,0.0,633347.0,373385.4,2,1266694.0,0,1,2,13,0.0,0.0,1.25,22,5,1.0,1,Regular,Low,High,Potential,Low
561468000000000075764,2025-04-30,0,1,5,0.0,95535.0,2007602.0,0.0,95535.0,401520.4,0,0.0,0,1,1,13,0.2,0.0,1.0,26,5,0.0,1,Regular,Low,Low,Potential,Low
561468000000000003325,2025-04-30,0,2,5,0.0,721808.0,1058341.0,0.0,360904.0,211668.2,2,721808.0,0,1,2,16,0.0,0.2,1.0,15,5,1.0,1,Regular,Low,High,Potential,Low
561468000000000001695,2025-04-30,0,1,5,0.0,370884.0,673261.0,0.0,370884.0,134652.2,0,0.0,0,1,1,13,0.0,0.2,1.0,30,5,0.0,1,Regular,Low,Medium,Potential,Low
860006000000000010682,2025-04-30,1,2,6,135381.0,185253.0,1712232.0,135381.0,92626.5,285372.0,1,135381.0,1,1,2,12,0.16666666666666666,0.0,1.0,1,6,0.5,1,Active,Low,Medium,Lost,Low
